sample_id,pad_name,level,level_index,severity,severity_label,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,brightness,contrast,base_r,base_g,base_b,blurred
903,Protein,Moderate,3,2,Moderate,90.9824,180.9883,116.9434,2.7257,2.8006,2.5374,68.6445,126.8154,180.9883,1.1148,4.3044,2.8006,146.7793,1.905,90,175,100,0
904,Protein,Moderate,3,2,Moderate,87.7803,165.1455,106.0361,7.1037,7.2595,7.0578,66.9512,119.3418,165.1455,3.6344,12.4128,7.2595,135.2695,4.8347,90,175,100,1
905,Protein,Moderate,3,2,Moderate,109.5742,159.0195,124.9814,7.0846,7.0346,7.0187,69.1572,79.1719,159.0195,5.544,13.4771,7.0346,140.3516,4.7565,90,175,100,1
906,Protein,Moderate,3,2,Moderate,113.9746,155.7891,115.0996,2.8051,2.7815,2.8322,60.7686,70.1367,155.7891,2.7071,5.0516,2.7815,138.6436,1.899,90,175,100,0
907,Protein,Moderate,3,2,Moderate,113.8984,156.998,113.1396,7.3298,7.1454,7.0928,59.5723,77.0127,156.998,6.2865,12.4529,7.1454,139.1143,4.8145,90,175,100,0
908,Protein,Moderate,3,2,Moderate,80.9775,183.9473,96.957,7.2141,7.139,7.1838,64.5449,142.8711,183.9473,2.8205,10.5986,7.139,143.2256,4.7814,90,175,100,1
909,Protein,Moderate,3,2,Moderate,107.7549,157.0869,108.9189,7.2241,7.2424,7.3062,60.6162,85.7402,157.0869,5.7515,12.4439,7.2424,136.8408,4.8407,90,175,100,0
910,Protein,Moderate,3,2,Moderate,91.3506,191.6934,91.7822,7.2617,7.1303,7.1562,60.1172,138.5195,191.6934,2.8956,9.1838,7.1303,150.3008,4.7066,90,175,100,1
911,Protein,Moderate,3,2,Moderate,113.9785,160.0391,123.5371,7.1485,7.4512,7.1718,65.8994,74.6309,160.0391,6.3328,13.2254,7.4512,142.0918,4.8979,90,175,100,0
912,Protein,Moderate,3,2,Moderate,64.7588,186.251,95.708,7.2239,7.2026,7.1897,67.5771,166.2178,186.251,2.2921,10.6287,7.2026,139.6016,4.7489,90,175,100,1
913,Protein,Moderate,3,2,Moderate,87.0303,165.5859,104.7178,7.1749,7.2826,7.2124,66.6484,120.8877,165.5859,3.5561,12.3146,7.2826,135.1729,4.9046,90,175,100,1
914,Protein,Moderate,3,2,Moderate,84.21,172.1914,101.2441,2.8201,2.8115,2.8244,65.7773,130.2998,172.1914,1.3263,4.6156,2.8115,137.7998,1.9065,90,175,100,0
915,Protein,Moderate,3,2,Moderate,74.8145,173.251,86.7861,7.152,7.232,7.0535,63.5537,145.5908,173.251,2.9891,10.676,7.232,133.9717,4.8032,90,175,100,1
916,Protein,Moderate,3,2,Moderate,112.4629,161.1787,93.3164,7.0806,7.1011,7.2549,51.6934,107.2061,161.1787,4.0879,12.928,7.1011,138.8643,4.7385,90,175,100,0
917,Protein,Moderate,3,2,Moderate,108.8779,199.6221,97.1777,7.2625,7.3041,7.3885,56.6953,131.5371,199.6221,2.8843,9.8221,7.3041,160.8174,4.8041,90,175,100,0
918,Protein,Moderate,3,2,Moderate,98.0059,190.0762,102.9521,7.1966,7.2974,7.3208,61.5547,126.2236,190.0762,3.1584,9.5751,7.2974,152.6162,4.9125,90,175,100,0
919,Protein,Moderate,3,2,Moderate,106.0029,183.9492,75.4414,7.0569,7.1129,7.3072,51.6182,150.2646,183.9492,2.5387,10.9835,7.1129,148.2656,4.7426,90,175,100,0
920,Protein,Moderate,3,2,Moderate,114.8594,175.0596,122.1377,2.7268,2.8472,2.95,63.6211,87.6914,175.0596,1.9052,4.5344,2.8472,151.0312,1.9717,90,175,100,1
921,Protein,Moderate,3,2,Moderate,93.4512,174.6416,110.5234,2.5275,2.6673,2.6331,66.3008,118.5225,174.6416,1.2722,4.2364,2.6673,143.043,1.7925,90,175,100,0
922,Protein,Moderate,3,2,Moderate,91.0449,158.5654,121.7666,7.2146,7.1925,7.3753,73.627,108.3047,158.5654,4.1361,13.2693,7.1925,134.1914,4.8622,90,175,100,1
923,Protein,Moderate,3,2,Moderate,79.9111,151.1885,76.8115,7.23,7.3541,7.1274,58.8301,129.9082,151.1885,3.8556,11.5208,7.3541,121.3867,4.9209,90,175,100,1
924,Protein,Moderate,3,2,Moderate,98.2178,196.8369,84.4111,7.2176,7.218,7.1861,56.4092,145.8936,196.8369,2.5379,9.795,7.218,154.5264,4.8947,90,175,100,0
925,Protein,Moderate,3,2,Moderate,102.1299,164.8359,79.793,7.2396,7.0244,7.2737,52.2236,131.3535,164.8359,3.3269,12.4269,7.0244,136.3857,4.6876,90,175,100,0
926,Protein,Moderate,3,2,Moderate,111.3027,183.2861,114.8213,7.4622,7.2367,7.0954,61.333,103.5645,183.2861,3.9938,10.6145,7.2367,153.9805,4.8001,90,175,100,1
927,Protein,Moderate,3,2,Moderate,65.0557,188.8916,92.0039,7.2126,7.0749,7.2849,66.4727,167.0547,188.8916,2.314,10.2559,7.0749,140.8066,4.8021,90,175,100,0
928,Protein,Moderate,3,2,Moderate,71.1357,167.8672,90.6709,7.1856,7.2828,7.1143,65.9668,146.8184,167.8672,2.9668,11.808,7.2828,130.1338,4.8574,90,175,100,0
929,Protein,Moderate,3,2,Moderate,80.1768,164.1201,105.0791,7.2267,7.2903,7.3105,68.834,130.1875,164.1201,3.3427,12.7153,7.2903,132.2881,4.8007,90,175,100,1
930,Protein,Moderate,3,2,Moderate,96.1709,172.2891,84.9463,7.3078,7.3999,7.3208,56.2666,130.0732,172.2891,3.3208,11.2913,7.3999,139.5605,4.8582,90,175,100,1
931,Protein,Moderate,3,2,Moderate,78.9551,190.0693,115.1426,7.4066,7.1659,7.0729,69.7354,148.9248,190.0693,2.4557,10.7935,7.1659,148.3066,4.7789,90,175,100,0
932,Protein,Moderate,3,2,Moderate,78.0918,162.9746,82.8047,7.0062,7.0571,7.3747,61.5869,136.1318,162.9746,3.4344,10.7572,7.0571,128.4531,4.6378,90,175,100,1
933,Protein,Moderate,3,2,Moderate,65.3271,184.0176,88.0176,2.4704,2.7389,2.6659,65.7441,164.457,184.0176,0.8495,3.7036,2.7389,137.5801,1.8242,90,175,100,1
934,Protein,Moderate,3,2,Moderate,72.9883,191.8701,101.0898,7.3576,7.4064,7.2824,67.0469,157.8604,191.8701,2.3506,10.5383,7.4064,145.9756,4.9516,90,175,100,0
935,Protein,Moderate,3,2,Moderate,78.2031,162.4766,119.0703,7.1514,7.179,7.3692,74.5303,132.0088,162.4766,3.213,12.6715,7.179,132.3262,4.7349,90,175,100,0
936,Protein,Moderate,3,2,Moderate,73.0488,178.0039,104.1611,7.3363,7.1871,7.145,68.8525,150.2168,178.0039,2.723,11.2354,7.1871,138.1924,4.8803,90,175,100,1
937,Protein,Moderate,3,2,Moderate,101.0117,177.2334,91.5986,7.0536,7.1567,7.2629,56.8398,124.5879,177.2334,3.4627,10.7458,7.1567,144.6816,4.7697,90,175,100,0
938,Protein,Moderate,3,2,Moderate,95.0771,161.8115,118.9756,7.1519,7.1775,7.0703,70.6377,104.8906,161.8115,4.1639,13.1763,7.1775,136.9922,4.775,90,175,100,0
939,Protein,Moderate,3,2,Moderate,84.1904,180.0361,96.9297,7.3293,7.3764,7.1039,63.8945,136.2451,180.0361,3.0167,10.9046,7.3764,141.8906,4.923,90,175,100,1
940,Protein,Moderate,3,2,Moderate,77.6045,186.9932,94.2441,7.2024,7.2255,7.2826,64.4922,149.3398,186.9932,2.7042,10.4554,7.2255,143.71,4.7365,90,175,100,1
941,Protein,Moderate,3,2,Moderate,80.248,161.3145,88.2842,7.1744,7.2741,7.1124,62.8447,129.8379,161.3145,3.5317,11.3384,7.2741,128.7393,4.9672,90,175,100,0
942,Protein,Moderate,3,2,Moderate,112.9258,158.0029,84.7471,7.4673,7.2281,7.3555,48.5557,118.0,158.0029,3.8854,12.9654,7.2281,136.1807,4.98,90,175,100,1
943,Protein,Moderate,3,2,Moderate,68.667,153.251,88.123,7.2054,7.3293,7.1175,66.7871,140.6104,153.251,3.436,12.8284,7.3293,120.542,5.0037,90,175,100,0
944,Protein,Moderate,3,2,Moderate,85.6572,157.085,121.1133,2.6184,2.8401,2.8057,74.9053,115.8896,157.085,1.5103,4.8875,2.8401,131.6094,1.8874,90,175,100,0
945,Protein,Moderate,3,2,Moderate,89.7197,184.7871,97.5576,7.2658,7.2458,7.2226,62.3691,132.834,184.7871,3.0899,10.0587,7.2458,146.4287,4.8205,90,175,100,1
946,Protein,Moderate,3,2,Moderate,72.0479,200.0762,89.1504,7.0536,7.1868,7.1549,63.9482,163.2236,200.0762,2.2794,9.312,7.1868,149.1396,4.8427,90,175,100,1
947,Protein,Moderate,3,2,Moderate,98.1963,162.2812,80.0557,7.1551,7.2674,7.2414,53.5322,129.0771,162.2812,3.4365,12.6407,7.2674,133.7529,4.8809,90,175,100,1
948,Protein,Moderate,3,2,Moderate,69.5547,151.4121,109.9941,7.1037,7.3134,7.28,74.8145,137.5645,151.4121,3.3197,13.5121,7.3134,122.2188,4.812,90,175,100,0
949,Protein,Moderate,3,2,Moderate,90.4775,199.1787,109.0596,2.8695,2.7419,2.8459,65.1104,139.1807,199.1787,1.0637,3.9968,2.7419,156.4141,1.8943,90,175,100,1
950,Protein,Moderate,3,2,Moderate,78.0566,176.9502,122.8613,2.7826,2.9958,2.6113,73.5889,142.4932,176.9502,1.0068,4.4737,2.9958,141.1934,1.9838,90,175,100,1
951,Protein,Moderate,3,2,Moderate,109.0303,164.9365,82.7451,7.1184,7.1843,7.28,50.4883,126.8701,164.9365,3.3657,12.4948,7.1843,138.8545,4.7363,90,175,100,0
952,Protein,Moderate,3,2,Moderate,78.0332,183.9648,118.9316,7.3602,7.3012,7.0518,71.5537,146.6924,183.9648,2.584,11.0286,7.3012,144.8799,4.9179,90,175,100,1
953,Protein,Moderate,3,2,Moderate,77.7832,160.8564,123.9961,7.0923,7.0606,6.9902,76.707,131.4756,160.8564,3.2232,12.4214,7.0606,131.8115,4.7494,90,175,100,0
954,Protein,Moderate,3,2,Moderate,66.3848,164.0801,81.7549,7.4573,7.2751,7.2438,64.5977,152.0625,164.0801,3.0558,12.0658,7.2751,125.4971,4.8892,90,175,100,1
955,Protein,Moderate,3,2,Moderate,83.3027,187.1953,87.0518,7.2466,7.2818,7.0763,61.0322,144.8242,187.1953,2.8146,9.2335,7.2818,144.7061,4.8588,90,175,100,0
956,Protein,Moderate,3,2,Moderate,100.0918,151.9629,119.332,7.3434,7.2796,7.3064,71.0146,86.7529,151.9629,5.4176,14.4898,7.2796,132.7363,4.9628,90,175,100,1
957,Protein,Moderate,3,2,Moderate,81.085,195.4219,114.8789,7.283,7.1059,7.2503,68.8281,149.0781,195.4219,2.4048,10.1597,7.1059,152.0684,4.8615,90,175,100,1
958,Protein,Moderate,3,2,Moderate,67.71,165.0742,75.9863,7.1576,7.3336,7.2392,62.457,152.0293,165.0742,2.9666,10.762,7.3336,125.8096,4.9551,90,175,100,0
959,Protein,Moderate,3,2,Moderate,105.7451,200.5498,93.8691,7.3404,7.1418,7.0064,56.7695,136.292,200.5498,2.7542,9.3049,7.1418,160.043,4.8015,90,175,100,0
960,Protein,High,4,3,Critical,72.0361,132.5156,64.9375,2.863,2.5583,2.8274,56.9219,130.0674,132.5156,1.6387,5.8414,2.5583,106.7305,1.8338,60,145,60,1
961,Protein,High,4,3,Critical,84.7656,144.2295,39.9375,7.1032,7.2709,7.1066,47.1211,184.1826,144.2295,2.5775,13.238,7.2709,114.5596,4.8198,60,145,60,1
962,Protein,High,4,3,Critical,76.126,141.9326,82.3799,7.1505,7.0725,7.1079,62.6797,121.2979,141.9326,4.4685,12.4242,7.0725,115.4756,4.8669,60,145,60,0
963,Protein,High,4,3,Critical,50.1816,170.1162,66.6523,7.2781,7.1535,7.0925,64.0527,179.8672,170.1162,2.4269,11.2876,7.1535,122.4717,4.7442,60,145,60,0
964,Protein,High,4,3,Critical,72.7217,127.9209,59.9189,7.0826,7.3982,7.1987,54.5967,136.1445,127.9209,4.3069,15.0113,7.3982,103.6445,5.0125,60,145,60,0
965,Protein,High,4,3,Critical,75.9121,154.1943,52.8594,7.2302,7.2776,7.2118,53.2676,167.3955,154.1943,2.8947,12.6295,7.2776,119.2383,4.8329,60,145,60,1
966,Protein,High,4,3,Critical,62.1211,119.9209,59.8242,7.237,7.0912,7.0169,58.9619,133.7861,119.9209,4.6391,14.3633,7.0912,95.8027,4.7141,60,145,60,0
967,Protein,High,4,3,Critical,81.7539,169.8818,62.0986,2.818,2.7241,2.7605,54.5498,161.8027,169.8818,1.0437,4.5357,2.7241,131.2471,1.8897,60,145,60,0
968,Protein,High,4,3,Critical,68.0977,126.5771,47.0957,7.3477,7.0884,7.2565,52.1924,159.8701,126.5771,3.542,15.5418,7.0884,100.04,4.8098,60,145,60,0
969,Protein,High,4,3,Critical,74.8975,161.9219,76.7314,7.2473,7.3374,7.1545,60.6055,142.168,161.9219,3.3788,10.601,7.3374,126.1934,4.8106,60,145,60,1
970,Protein,High,4,3,Critical,84.3086,158.3604,83.832,7.1764,7.1186,7.106,59.8301,126.2637,158.3604,3.8793,10.941,7.1186,127.7207,4.7211,60,145,60,0
971,Protein,High,4,3,Critical,67.5713,138.3379,82.4014,2.7763,2.8925,2.7642,66.2686,130.3975,138.3379,1.5503,5.7251,2.8925,110.8066,1.9293,60,145,60,1
972,Protein,High,4,3,Critical,77.1367,129.1826,78.126,2.764,3.0248,2.7032,60.5488,104.8262,129.1826,2.1514,5.8191,3.0248,107.8174,1.9771,60,145,60,0
973,Protein,High,4,3,Critical,74.1406,142.1475,66.1338,7.2422,7.3465,7.2322,56.9795,138.2949,142.1475,3.7714,12.8268,7.3465,113.1631,4.8944,60,145,60,0
974,Protein,High,4,3,Critical,67.3047,160.998,70.5576,7.2343,7.2773,7.2741,60.9785,152.6523,160.998,3.1975,10.5011,7.2773,122.6699,4.8509,60,145,60,1
975,Protein,High,4,3,Critical,81.9023,159.958,64.8672,7.278,7.1692,7.2126,54.7256,151.541,159.958,3.0101,12.2726,7.1692,125.7959,4.7944,60,145,60,1
976,Protein,High,4,3,Critical,38.0449,138.082,68.3965,2.5171,2.7813,2.8008,69.0918,184.7363,138.082,1.0859,4.8767,2.7813,100.2275,1.8398,60,145,60,1
977,Protein,High,4,3,Critical,58.8926,155.6621,79.4971,7.1017,7.2029,7.2093,66.2979,158.3838,155.6621,2.9912,12.366,7.2029,118.0527,4.8025,60,145,60,1
978,Protein,High,4,3,Critical,37.0557,165.5508,47.6709,7.2645,7.1775,7.4007,62.4248,199.0801,165.5508,2.3239,10.4564,7.1775,113.6875,4.8764,60,145,60,0
979,Protein,High,4,3,Critical,34.9297,134.0684,71.7891,7.1835,7.3106,7.2529,71.1172,188.4033,134.0684,2.7218,14.1128,7.3106,97.3311,4.9514,60,145,60,1
980,Protein,High,4,3,Critical,36.0371,124.6348,68.3213,2.7604,2.8691,2.6334,70.9268,181.2363,124.6348,1.164,5.9664,2.8691,91.7119,1.9106,60,145,60,1
981,Protein,High,4,3,Critical,70.8809,142.9521,77.8301,2.7701,2.6683,2.8053,62.8721,128.5928,142.9521,1.5972,5.3914,2.6683,113.9854,1.8251,60,145,60,0
982,Protein,High,4,3,Critical,63.0635,146.2432,37.1143,7.3404,7.1822,7.1903,52.9395,190.1426,146.2432,2.6343,12.865,7.1822,108.9199,4.8418,60,145,60,1
983,Protein,High,4,3,Critical,60.9238,141.0889,42.4883,7.3126,7.1072,7.1925,54.4912,178.1709,141.0889,2.9656,13.3209,7.1072,105.8818,4.7599,60,145,60,1
984,Protein,High,4,3,Critical,55.9824,129.7129,46.0039,2.8831,2.7947,2.7884,56.458,164.5312,129.7129,1.4101,5.8354,2.7947,98.127,1.9166,60,145,60,1
985,Protein,High,4,3,Critical,63.1504,144.0459,40.2285,7.0708,7.2429,7.2461,53.4805,183.6357,144.0459,2.7499,13.2727,7.2429,108.0254,4.8167,60,145,60,0
986,Protein,High,4,3,Critical,43.2344,159.8857,81.2607,7.0848,7.2234,7.196,69.7578,185.9238,159.8857,2.3197,11.7335,7.2234,116.0596,4.8607,60,145,60,1
987,Protein,High,4,3,Critical,72.0605,133.1934,62.2363,2.6576,2.8841,2.7065,55.874,135.7305,133.1934,1.5028,5.9403,2.8841,106.8193,1.9268,60,145,60,0
988,Protein,High,4,3,Critical,71.959,134.0518,58.2031,7.2549,7.033,7.2908,54.7158,144.6924,134.0518,3.8105,14.269,7.033,106.8447,4.7648,60,145,60,0
989,Protein,High,4,3,Critical,75.1553,154.5244,37.0332,7.2511,7.2805,7.3186,50.3105,193.7314,154.5244,2.3637,12.5274,7.2805,117.4092,4.7729,60,145,60,0
990,Protein,High,4,3,Critical,47.9805,144.292,41.3447,2.762,2.7905,2.8483,58.0957,182.0059,144.292,1.1502,5.1404,2.7905,103.7607,1.8266,60,145,60,0
991,Protein,High,4,3,Critical,36.9688,136.8516,84.7939,7.4118,7.0615,7.1481,74.3691,185.9189,136.8516,2.6299,14.5181,7.0615,101.0625,4.7191,60,145,60,0
992,Protein,High,4,3,Critical,84.3682,125.1357,75.7822,7.1851,7.1963,7.0715,55.1846,102.4922,125.1357,5.8585,15.9206,7.1963,107.3301,4.88,60,145,60,1
993,Protein,High,4,3,Critical,61.2871,123.8799,46.9697,2.8651,2.7329,2.9051,54.4697,158.2715,123.8799,1.5062,6.2812,2.7329,96.3936,1.9532,60,145,60,0
994,Protein,High,4,3,Critical,47.2559,128.7676,66.043,7.1031,7.3007,7.199,66.7939,161.2422,128.7676,3.468,15.0519,7.3007,97.2598,4.8132,60,145,60,0
995,Protein,High,4,3,Critical,83.0059,131.626,37.3311,7.2404,7.2974,7.217,45.4912,182.4561,131.626,2.8439,14.553,7.2974,106.3428,4.9815,60,145,60,0
996,Protein,High,4,3,Critical,62.8555,164.8779,62.9062,7.3145,7.0996,7.1538,60.0195,164.2021,164.8779,2.8996,9.9516,7.0996,122.7588,4.737,60,145,60,0
997,Protein,High,4,3,Critical,85.0771,158.9551,54.8643,7.2048,7.2813,7.1804,51.3545,166.8037,158.9551,2.6988,12.389,7.2813,124.9902,4.793,60,145,60,0
998,Protein,High,4,3,Critical,77.376,162.3633,46.3125,2.7554,2.8255,2.7585,51.9707,182.2344,162.3633,0.9638,4.3676,2.8255,123.7256,1.9044,60,145,60,1
999,Protein,High,4,3,Critical,37.9541,144.1289,80.7656,7.2896,7.2059,7.2118,72.0781,187.6494,144.1289,2.4736,13.4581,7.2059,105.1562,4.8246,60,145,60,1
1000,Protein,High,4,3,Critical,63.1514,136.5352,67.7373,7.2556,7.2886,7.044,61.7266,140.8525,136.5352,3.9277,12.9836,7.2886,106.7559,4.7833,60,145,60,0
1001,Protein,High,4,3,Critical,71.8545,147.8555,70.1025,7.0731,7.2565,7.1708,59.3877,139.7178,147.8555,3.6993,11.42,7.2565,116.2676,4.8399,60,145,60,0
1002,Protein,High,4,3,Critical,72.4268,148.1182,75.4033,7.1977,7.1816,7.336,61.0986,135.042,148.1182,3.8643,11.9898,7.1816,117.1982,4.8773,60,145,60,1
1003,Protein,High,4,3,Critical,65.4756,151.9834,55.0879,7.2699,6.9971,7.1328,56.8945,163.7773,151.9834,3.0584,11.5478,6.9971,115.0576,4.6452,60,145,60,1
1004,Protein,High,4,3,Critical,73.7832,146.1084,61.3057,2.7814,2.8123,2.6349,55.6123,147.9326,146.1084,1.3546,4.9565,2.8123,114.8203,1.8638,60,145,60,0
1005,Protein,High,4,3,Critical,52.9863,125.1172,37.3428,7.0327,7.2234,7.2088,54.7812,178.9863,125.1172,3.2336,14.9473,7.2234,93.5518,4.8222,60,145,60,0
1006,Protein,High,4,3,Critical,82.2256,144.04,72.3711,7.2693,7.1914,7.2855,56.0703,128.2979,144.04,4.168,13.0714,7.1914,117.3857,4.8146,60,145,60,1
1007,Protein,High,4,3,Critical,62.2012,145.0107,75.2285,7.1772,7.2552,7.2202,64.5654,146.2598,145.0107,3.5865,13.0264,7.2552,112.2959,4.8321,60,145,60,0
1008,Protein,High,4,3,Critical,42.8105,152.2656,46.1875,7.0529,7.1062,7.1061,60.9082,187.6064,152.2656,2.6493,10.6235,7.1062,107.4404,4.6104,60,145,60,1
1009,Protein,High,4,3,Critical,71.0381,137.7363,77.9883,2.8562,2.7562,2.7965,63.0771,123.541,137.7363,1.7107,5.912,2.7562,110.9619,1.878,60,145,60,1
1010,Protein,High,4,3,Critical,81.4355,158.3232,42.9082,7.2096,7.1432,7.2916,50.0381,185.751,158.3232,2.3116,12.2125,7.1432,122.1689,4.887,60,145,60,1
1011,Protein,High,4,3,Critical,70.0703,163.9424,44.418,7.1576,7.2166,7.3842,53.6367,185.7725,163.9424,2.364,11.9957,7.2166,122.2461,4.8291,60,145,60,1
1012,Protein,High,4,3,Critical,72.125,158.0908,76.0762,2.8987,2.6266,2.6384,61.3311,139.1836,158.0908,1.3639,4.6171,2.6266,123.042,1.8459,60,145,60,0
1013,Protein,High,4,3,Critical,80.6074,124.4463,46.1543,7.2072,7.2843,7.0218,46.8301,160.0625,124.4463,3.3751,15.7361,7.2843,102.416,4.9118,60,145,60,1
1014,Protein,High,4,3,Critical,35.2773,137.9307,49.6729,7.0183,7.1999,7.1903,64.1162,190.1924,137.9307,2.8338,12.8226,7.1999,97.1777,4.8244,60,145,60,0
1015,Protein,High,4,3,Critical,64.9141,149.041,63.0049,7.297,7.2209,7.0404,59.373,152.5518,149.041,3.3309,11.1011,7.2209,114.085,4.991,60,145,60,1
1016,Protein,High,4,3,Critical,72.7578,150.0029,67.0107,2.8308,2.68,2.805,57.9678,141.3057,150.0029,1.4836,4.7835,2.68,117.458,1.827,60,145,60,1
1017,Protein,High,4,3,Critical,42.2969,137.0537,78.6572,7.295,7.2729,7.2642,71.4688,176.1074,137.0537,2.8701,14.1663,7.2729,102.0693,4.9274,60,145,60,0
1018,Protein,High,4,3,Critical,63.8389,124.0264,69.9414,7.0762,7.3096,7.4078,62.8701,126.9531,124.0264,4.8056,14.807,7.3096,99.8838,4.8033,60,145,60,0
1019,Protein,High,4,3,Critical,44.1748,166.1865,37.3076,7.3948,7.2895,7.2571,58.4492,200.042,166.1865,2.2929,10.2502,7.2895,115.0039,4.8471,60,145,60,1
1020,Protein,Very High,5,3,Critical,39.8037,102.293,32.8594,7.1137,7.1932,7.1736,57.2197,176.1865,102.293,4.0214,17.1317,7.1932,75.7002,4.8237,30,100,30,0
1021,Protein,Very High,5,3,Critical,31.3018,88.5771,20.8477,7.2759,7.2103,7.2839,55.5693,196.9756,88.5771,4.2586,19.8136,7.2103,63.7285,4.7949,30,100,30,0
1022,Protein,Very High,5,3,Critical,7.5498,116.8125,39.5508,6.5703,7.1644,7.1922,68.749,238.459,116.8125,2.4432,14.4554,7.1644,75.3379,4.7483,30,100,30,1
1023,Protein,Very High,5,3,Critical,45.8428,113.6934,7.9424,7.1032,7.0898,6.6096,49.2686,237.1074,113.6934,2.4712,14.9911,7.0898,81.3516,4.7411,30,100,30,1
1024,Protein,Very High,5,3,Critical,31.7568,124.1064,36.6973,7.2287,7.4213,7.1651,61.5244,194.165,124.1064,3.2112,12.9704,7.4213,86.5273,4.7579,30,100,30,0
1025,Protein,Very High,5,3,Critical,49.9404,76.8779,36.5469,7.1056,7.1816,7.3356,50.3945,133.9717,76.8779,7.2069,26.5967,7.1816,64.2207,4.7139,30,100,30,1
1026,Protein,Very High,5,3,Critical,41.21,124.9404,17.7832,7.31,7.3149,7.2369,53.5186,218.6016,124.9404,2.6014,14.87,7.3149,87.6816,4.9857,30,100,30,0
1027,Protein,Very High,5,3,Critical,26.0479,82.9492,19.9082,7.1809,7.2153,7.1334,57.2686,198.9521,82.9492,4.5547,19.6963,7.2153,58.7393,4.7696,30,100,30,1
1028,Protein,Very High,5,3,Critical,53.2432,123.0527,43.7334,2.8509,2.9204,2.8157,56.4268,164.3564,123.0527,1.4831,6.1532,2.9204,93.1387,1.978,30,100,30,0
1029,Protein,Very High,5,3,Critical,36.959,108.1377,22.8623,7.1516,7.1695,7.2141,55.2041,201.8271,108.1377,3.4636,16.5279,7.1695,77.1514,4.7901,30,100,30,0
1030,Protein,Very High,5,3,Critical,14.0234,89.9346,10.9482,6.9549,7.1786,7.1815,58.9355,231.8799,89.9346,3.6596,16.5608,7.1786,58.2344,4.8305,30,100,30,1
1031,Protein,Very High,5,3,Critical,17.7969,78.7568,14.6094,7.1966,7.1591,7.1465,58.627,216.0469,78.7568,4.3539,20.1278,7.1591,53.2295,4.7507,30,100,30,1
1032,Protein,Very High,5,3,Critical,15.8984,109.6143,25.7168,7.0521,7.0711,7.105,63.0254,220.0752,109.6143,3.1177,14.793,7.0711,72.0361,4.8062,30,100,30,1
1033,Protein,Very High,5,3,Critical,46.2949,103.9404,24.7119,7.338,7.3488,7.2569,51.9795,194.1094,103.9404,3.691,18.4747,7.3488,77.6748,4.9279,30,100,30,0
1034,Protein,Very High,5,3,Critical,34.2148,120.0879,52.2373,7.2638,7.0686,7.2611,66.1738,182.3301,120.0879,3.3844,15.6403,7.0686,86.6748,4.8431,30,100,30,0
1035,Protein,Very High,5,3,Critical,20.0273,91.1865,16.8574,7.0764,7.2316,7.2931,58.8037,215.5586,91.1865,3.9128,16.7918,7.2316,61.4258,4.7449,30,100,30,0
1036,Protein,Very High,5,3,Critical,8.3857,118.9521,9.9785,2.5634,2.7745,2.7613,60.4531,238.9346,118.9521,1.1118,4.6265,2.7745,73.4688,1.8949,30,100,30,0
1037,Protein,Very High,5,3,Critical,44.0566,84.0342,32.7305,7.2661,7.1713,7.1374,53.7402,157.127,84.0342,5.6781,21.6926,7.1713,66.2246,4.9034,30,100,30,1
1038,Protein,Very High,5,3,Critical,39.7598,83.9756,31.7441,7.0742,7.1241,7.3264,55.6826,161.7334,83.9756,5.4834,21.0749,7.1241,64.7871,4.7834,30,100,30,0
1039,Protein,Very High,5,3,Critical,39.999,124.0537,24.1348,7.2247,7.2581,7.0972,55.334,205.5742,124.0537,2.8159,14.5269,7.2581,87.5449,4.869,30,100,30,1
1040,Protein,Very High,5,3,Critical,32.7725,101.8555,51.2236,7.3229,7.2121,7.2573,67.8428,172.6855,101.8555,4.0427,19.2623,7.2121,75.416,4.8528,30,100,30,1
1041,Protein,Very High,5,3,Critical,6.4219,86.1904,52.4707,2.3175,2.6593,2.9773,77.3359,235.9736,86.1904,1.3766,6.8718,2.6593,58.5049,1.7556,30,100,30,0
1042,Protein,Very High,5,3,Critical,30.1406,74.6865,23.1162,7.1078,7.238,7.2594,56.1895,180.5996,74.6865,5.5177,22.9959,7.238,55.4951,4.7803,30,100,30,0
1043,Protein,Very High,5,3,Critical,43.7988,89.8926,31.8438,2.9893,2.8028,2.5593,53.8623,164.5742,89.8926,1.9166,7.6451,2.8028,69.4746,1.894,30,100,30,1
1044,Protein,Very High,5,3,Critical,49.7354,102.0225,41.9746,7.3363,7.1679,7.1318,56.3604,153.4307,102.0225,4.9904,16.516,7.1679,79.5586,4.8708,30,100,30,0
1045,Protein,Very High,5,3,Critical,43.6406,93.3096,22.9531,7.2896,7.0293,7.2763,51.3662,191.8555,93.3096,3.9792,20.9401,7.0293,70.4492,4.7618,30,100,30,0
1046,Protein,Very High,5,3,Critical,53.9443,90.0713,50.8564,7.1566,7.194,7.0398,57.9141,117.5371,90.0713,6.9208,20.2307,7.194,74.7793,4.8149,30,100,30,0
1047,Protein,Very High,5,3,Critical,46.3262,80.3174,25.4346,7.0194,7.0898,7.2681,48.7207,173.6602,80.3174,5.0366,24.4873,7.0898,63.8906,4.6943,30,100,30,1
1048,Protein,Very High,5,3,Critical,39.3447,80.4814,31.042,7.3051,7.0851,7.1874,55.3096,159.666,80.4814,5.8038,22.2562,7.0851,62.5498,4.8218,30,100,30,0
